X,Y,x,sqx,xy,te
72,100.8,-505.20000000000005,255227.04000000004,-50924.16,16489.403691598625
72.6,0,-504.6,254621.16000000003,0,16452.09857385041
73.2,248.1,-504.00000000000006,254016.00000000006,-125042.40000000001,16414.837787792923
73.8,1443,-503.40000000000003,253411.56000000003,-726406.2000000001,16377.621333426161
74.4,0,-502.80000000000007,252807.84000000005,0,16340.449210750134
75,0,-502.20000000000005,252204.84000000005,0,16303.321419764832
75.6,607.9,-501.6,251602.56000000003,-304922.64,16266.237960470258
76.2,0,-501.00000000000006,251001.00000000006,0,16229.198832866417
76.8,42.5,-500.40000000000003,250400.16000000003,-21267,16192.2040369533
77.4,3081.3,-499.80000000000007,249800.04000000007,-1540033.7400000002,16155.253572730917
78,3081.3,-499.20000000000005,249200.64000000004,-1538184.9600000002,16118.347440199257
78.6,3080.4,-498.6,248601.96000000002,-1535887.4400000002,16081.485639358327
79.2,1773,-498.00000000000006,248004.00000000006,-882954.0000000001,16044.66817020813
79.8,0,-497.40000000000003,247406.76000000004,0,16007.895032748656
80.4,0,-496.80000000000007,246810.24000000008,0,15971.166226979916
81,0,-496.20000000000005,246214.44000000003,0,15934.4817529019
81.6,0,-495.6,245619.36000000002,0,15897.841610514613
82.2,0,-495.00000000000006,245025.00000000006,0,15861.24579981806
82.8,0,-494.40000000000003,244431.36000000004,0,15824.69432081223
83.4,2595.2,-493.80000000000007,243838.44000000006,-1281509.76,15788.187173497134
84,2595.2,-493.20000000000005,243246.24000000005,-1279952.6400000001,15751.724357872761
84.6,3,-492.6,242654.76,-1477.8000000000002,15715.305873939118
85.2,2948.2,-492.00000000000006,242064.00000000006,-1450514.4000000001,15678.931721696208
85.8,2948.2,-491.40000000000003,241473.96000000002,-1448745.48,15642.601901144022
86.4,2133,-490.80000000000007,240884.64000000007,-1046876.4000000001,15606.31641228257
87,1844.6,-490.20000000000005,240296.04000000004,-904222.92,15570.07525511184
87.6,1844.6,-489.6,239708.16000000003,-903116.16,15533.87842963184
88.2,3111.5,-489.00000000000006,239121.00000000006,-1521523.5000000002,15497.725935842574
88.8,2732.6,-488.40000000000003,238534.56000000003,-1334601.84,15461.617773744032
89.4,2860.8,-487.80000000000007,237948.84000000005,-1395498.2400000002,15425.553943336221
90,1113.6,-487.20000000000005,237363.84000000005,-542545.92,15389.534444619138
90.6,359.6,-486.6,236779.56000000003,-174981.36000000002,15353.559277592782
91.2,0,-486.00000000000006,236196.00000000006,0,15317.628442257159
91.8,0,-485.40000000000003,235613.16000000003,0,15281.74193861226
92.4,0,-484.80000000000007,235031.04000000007,0,15245.899766658093
93,0,-484.20000000000005,234449.64000000004,0,15210.101926394653
